N,P,K,temperature,humidity,ph,rainfall,label
37.42,61.46,72.97,18.78,13.79,7.6,80.76,chickpea
20.69,69.21,19.33,23.08,17.6,5.53,104.35,kidneybeans
48.96,53.58,54.23,29.98,92.23,6.76,169.67,papaya
28.31,27.46,34.99,30.8,49.35,5.82,93.95,mango
41.13,62.9,18.42,26.88,64.22,7.04,71.04,blackgram
60.07,47.31,17.03,19.64,65.92,6.62,95.82,maize
24.36,53.93,22.48,28.88,84.81,6.53,57.23,mungbean
65.97,32.93,21.17,28.63,65.18,6.45,85.78,maize
19.26,69.71,19.86,26.64,44.68,5.96,119.16,pigeonpeas
21.96,17.26,28.18,28.87,93.94,5.6,161.82,coconut
93.84,16.26,52.16,30.55,91.26,6.13,26.59,muskmelon
74.52,47.48,21.86,22.84,59.86,6.31,92.13,maize
28.92,64.5,22.29,29.23,61.71,7.38,65.82,blackgram
97.19,32.13,32.53,23.94,62.89,6.68,179.91,coffee
24.72,124.04,203.12,23.45,82.44,5.71,70.24,grapes
17.92,52.7,25.0,27.9,87.54,6.35,52.93,mungbean
104.79,30.36,22.75,25.07,58.75,7.18,158.96,coffee
14.65,72.35,18.18,23.54,26.58,5.55,97.66,kidneybeans
140.0,49.84,18.99,23.8,78.54,6.94,80.1,cotton
20.4,120.26,197.62,22.21,91.31,5.92,115.79,apple
120.45,83.96,52.91,26.46,84.26,5.92,106.82,banana
38.65,61.0,28.01,27.75,63.38,7.22,71.4,blackgram
95.27,17.86,49.45,26.73,80.61,6.05,51.7,watermelon
29.05,15.99,30.61,28.49,95.91,5.82,177.43,coconut
11.18,64.96,24.57,22.58,62.38,6.72,39.63,lentil
16.74,21.09,12.97,21.39,91.19,6.59,106.09,orange
53.3,71.74,53.55,33.39,92.51,6.6,123.6,papaya
17.11,66.09,23.54,28.19,44.91,6.04,127.45,pigeonpeas
17.64,15.88,10.84,19.75,93.45,7.65,109.29,orange
76.57,44.4,32.96,22.04,78.97,7.1,259.59,rice
101.17,16.1,46.82,29.75,89.9,6.22,21.39,muskmelon
15.96,79.93,22.8,27.11,54.91,5.25,133.01,pigeonpeas
110.07,11.48,49.28,27.92,90.9,6.48,28.06,muskmelon
23.67,17.19,29.32,26.15,92.63,5.66,182.99,coconut
79.78,44.15,40.3,24.62,74.7,6.75,154.87,jute
116.44,92.77,55.77,27.84,80.5,6.26,110.46,banana
41.28,61.07,24.39,28.63,64.93,7.27,64.25,blackgram
56.19,55.45,49.46,36.45,94.85,6.6,181.79,papaya
90.71,90.13,48.39,25.17,74.25,6.38,109.53,banana
121.97,56.88,25.09,22.86,80.56,6.33,87.0,cotton
102.49,21.27,55.86,25.56,85.62,6.83,43.3,watermelon
12.45,11.54,9.59,22.32,93.9,7.3,114.74,orange
87.85,28.36,35.73,27.49,56.85,6.86,158.06,coffee
51.03,65.21,78.25,18.87,16.19,7.62,67.17,chickpea
79.5,45.33,35.46,22.45,84.57,6.6,211.76,rice
18.14,43.63,20.96,31.51,53.9,7.4,40.08,mothbeans
15.36,11.87,9.69,20.2,94.01,7.16,110.01,orange
17.28,24.83,31.97,31.84,45.57,5.63,99.97,mango
95.07,25.47,34.45,22.93,50.63,6.45,130.37,coffee
22.68,34.82,19.51,28.49,57.45,7.22,55.86,mothbeans
33.84,67.94,19.52,27.74,64.4,7.22,69.96,blackgram
11.9,18.89,46.97,22.1,89.37,6.21,112.89,pomegranate
71.77,55.34,17.89,18.88,58.97,6.38,69.43,maize
19.82,44.81,15.3,28.89,65.76,5.7,50.94,mothbeans
111.5,50.77,15.08,23.15,74.49,6.62,85.54,cotton
33.41,51.21,48.78,35.7,93.48,6.79,134.93,papaya
13.77,71.24,24.47,33.38,45.67,6.05,160.9,pigeonpeas
21.49,40.86,23.16,29.34,49.68,5.88,50.04,mothbeans
16.34,61.68,19.8,18.67,23.31,6.0,97.2,kidneybeans
119.78,28.46,26.87,25.25,49.99,6.79,172.88,coffee
43.23,72.51,26.38,34.27,62.35,7.59,70.1,blackgram
22.55,66.77,19.65,24.17,69.31,6.55,41.67,lentil
16.29,16.04,30.58,26.75,99.68,5.75,196.93,coconut
79.92,57.36,40.39,21.88,86.87,6.62,210.27,rice
18.21,14.64,9.51,21.81,92.76,6.32,117.76,orange
129.44,13.87,45.77,28.88,96.53,6.23,23.9,muskmelon
119.67,19.59,46.88,25.26,83.29,6.96,43.7,watermelon
23.14,67.37,19.21,20.14,22.97,5.46,122.61,kidneybeans
94.43,19.77,51.82,24.62,81.7,6.06,51.74,watermelon
113.08,75.17,53.86,28.46,85.96,5.87,95.82,banana
25.68,64.43,21.92,27.22,50.04,5.23,151.2,pigeonpeas
7.87,33.68,18.51,30.39,45.37,5.0,55.77,mothbeans
109.62,67.78,52.86,27.05,82.52,6.23,117.46,banana
73.89,59.32,34.72,27.09,83.85,7.27,150.98,jute
131.59,47.22,20.2,26.5,81.54,7.52,62.85,cotton
23.09,16.28,39.01,23.34,88.78,6.4,109.89,pomegranate
24.91,65.12,11.28,26.76,41.87,4.98,124.75,pigeonpeas
44.84,59.21,82.38,19.66,18.92,8.4,83.24,chickpea
76.04,56.04,17.89,22.31,72.28,6.01,106.55,maize
23.87,17.97,27.57,25.65,95.36,5.95,214.53,coconut
25.0,22.33,37.15,21.19,90.46,6.19,117.65,pomegranate
74.24,45.07,28.49,20.57,86.4,7.06,229.97,rice
19.28,78.83,22.04,27.36,44.98,5.63,158.07,pigeonpeas
30.05,131.71,204.13,23.12,86.07,5.8,67.14,grapes
39.87,75.35,18.64,31.36,66.5,7.2,66.17,blackgram
21.72,15.14,31.1,28.17,93.65,6.05,197.95,coconut
39.09,65.44,85.67,19.79,10.92,7.56,81.66,chickpea
43.03,71.89,15.48,26.89,62.12,6.9,72.32,blackgram
19.17,18.34,30.59,25.2,95.72,5.67,192.61,coconut
79.44,44.05,16.16,24.58,67.8,6.17,106.96,maize
100.34,74.15,52.96,29.92,81.43,6.58,92.4,banana
23.72,50.53,20.8,27.52,55.05,6.73,54.86,mothbeans
99.51,86.38,44.64,26.29,80.05,6.57,103.69,banana
29.46,62.0,15.86,20.71,23.4,5.65,127.7,kidneybeans
24.37,19.24,45.47,19.08,88.99,6.31,106.81,pomegranate
42.42,66.81,75.48,19.39,14.44,7.78,76.38,chickpea
25.84,19.98,26.29,29.04,96.89,5.72,204.48,coconut
16.85,15.06,7.74,21.33,89.94,6.95,102.99,orange
24.11,70.56,19.08,25.6,42.78,6.07,174.08,pigeonpeas
94.02,78.35,51.36,28.08,71.27,6.31,116.09,banana
81.81,72.97,53.89,28.71,81.49,5.48,101.73,banana
22.21,139.71,202.95,24.73,88.4,6.1,119.59,apple
19.98,72.18,16.72,19.33,23.34,5.87,101.49,kidneybeans
102.63,18.06,51.36,28.49,92.32,6.28,22.45,muskmelon
25.61,48.45,25.75,30.04,83.54,6.71,48.12,mungbean
12.0,40.7,20.48,26.41,55.77,6.82,35.45,mothbeans
23.91,22.46,33.16,28.2,96.86,5.89,166.55,coconut
66.3,37.32,17.92,22.29,66.17,6.13,89.02,maize
11.39,138.14,194.24,21.16,92.3,5.87,102.82,apple
12.39,14.42,25.72,26.71,95.71,5.93,165.08,coconut
20.7,88.4,21.1,19.47,23.9,5.8,112.2,kidneybeans
15.12,55.82,21.99,27.09,58.21,6.5,44.94,mothbeans
16.07,46.89,20.99,31.64,80.96,7.05,54.24,mungbean
14.81,71.63,21.99,24.93,69.41,6.41,48.04,lentil
110.08,19.82,49.94,24.1,82.2,6.58,52.51,watermelon
24.51,47.97,22.92,29.28,85.58,6.61,47.91,mungbean
17.51,70.91,13.74,26.24,47.91,5.35,130.77,pigeonpeas
14.93,55.89,14.62,24.31,43.85,6.78,138.98,pigeonpeas
21.09,63.54,19.5,27.9,35.33,6.03,129.91,pigeonpeas
13.43,66.27,24.98,20.14,22.18,5.45,96.65,kidneybeans
75.33,49.03,23.62,20.36,66.67,6.08,85.14,maize
84.17,44.71,47.66,26.01,83.96,6.52,190.67,jute
32.15,42.84,80.92,21.6,19.28,7.38,76.17,chickpea
18.95,133.55,204.08,23.1,93.3,6.05,118.89,apple
20.51,11.86,10.08,23.29,92.46,6.91,118.47,orange
125.99,47.94,26.6,24.63,79.38,6.56,74.45,cotton
77.11,49.26,35.86,24.64,86.9,6.36,246.24,rice
22.01,15.61,30.34,27.58,92.89,5.88,177.09,coconut
21.27,145.0,202.14,24.82,81.58,5.98,68.55,grapes
14.12,60.2,17.51,22.14,62.61,6.81,49.89,lentil
116.86,20.08,53.43,25.46,89.74,6.43,50.64,watermelon
29.61,142.23,200.78,20.01,78.83,6.03,67.6,grapes
21.02,140.88,194.66,24.84,80.94,5.77,79.94,grapes
28.01,67.74,21.04,30.65,65.77,7.45,64.56,blackgram
21.26,20.84,43.45,22.46,97.44,6.09,97.24,pomegranate
51.31,79.35,77.56,17.22,17.08,6.59,82.69,chickpea
20.16,19.88,29.97,27.12,92.3,6.24,163.96,coconut
63.28,36.71,24.41,21.88,62.52,6.51,77.53,maize
15.46,52.14,18.35,23.93,67.66,6.34,38.1,lentil
30.27,125.51,199.44,22.44,78.98,5.9,74.03,grapes
107.22,16.8,50.15,24.27,84.3,6.27,52.72,watermelon
81.42,42.91,36.18,25.62,80.36,6.46,153.22,jute
109.75,30.84,30.88,27.06,59.26,7.1,169.15,coffee
104.5,33.83,30.04,22.23,52.1,7.02,147.84,coffee
19.06,67.77,15.65,19.5,21.47,6.22,89.22,kidneybeans
70.83,55.65,34.11,24.4,77.16,6.35,170.6,jute
15.82,47.16,20.92,27.15,59.96,7.05,51.52,mothbeans
17.98,66.93,21.04,19.13,19.91,5.71,89.59,kidneybeans
90.9,92.94,57.87,27.34,84.15,5.68,113.2,banana
18.79,65.19,22.2,20.77,22.39,5.79,82.87,kidneybeans
26.78,18.25,35.34,29.92,94.12,6.75,176.14,coconut
54.26,64.04,42.08,32.25,94.4,6.75,118.67,papaya
47.37,56.73,49.7,32.55,89.69,6.59,140.65,papaya
18.15,48.31,22.74,29.25,82.86,6.92,44.57,mungbean
17.7,25.47,36.56,30.58,52.77,5.8,83.61,mango
19.03,22.45,41.89,21.68,85.85,6.16,108.63,pomegranate
111.53,18.6,47.73,27.04,88.82,6.58,46.3,watermelon
25.86,74.48,20.84,23.62,22.53,5.78,105.1,kidneybeans
66.35,45.86,18.17,21.93,65.43,6.36,83.95,maize
28.79,135.93,192.82,23.15,92.79,5.72,116.71,apple
39.78,72.12,22.47,28.4,57.23,7.09,69.56,blackgram
45.38,64.85,75.54,15.67,15.36,7.22,72.2,chickpea
18.87,132.26,202.44,26.1,82.26,6.1,69.94,grapes
21.69,136.75,195.32,20.57,79.09,6.61,71.72,grapes
116.59,76.96,52.3,27.24,79.85,5.77,117.92,banana
122.33,56.72,23.63,23.48,81.22,6.77,96.84,cotton
71.75,44.75,42.06,22.47,79.83,6.5,242.32,rice
19.14,21.56,38.42,22.08,89.99,6.12,106.82,pomegranate
17.56,46.93,16.72,24.75,86.1,6.88,49.97,mungbean
94.52,105.54,52.9,30.95,84.59,6.07,107.01,banana
75.49,42.81,37.57,27.97,80.39,6.1,167.0,jute
16.4,40.5,20.95,27.23,85.81,6.56,37.71,mungbean
76.51,52.72,16.63,23.36,65.87,6.35,88.27,maize
39.89,63.89,85.62,20.32,15.25,7.46,72.33,chickpea
42.52,59.9,77.81,19.98,16.05,7.99,76.9,chickpea
35.49,63.59,85.74,19.07,13.92,7.67,74.75,chickpea
23.17,137.22,198.99,25.35,93.29,5.61,114.44,apple
66.8,59.82,45.9,22.66,77.16,6.94,233.34,rice
19.67,57.35,17.23,18.09,22.12,5.71,95.07,kidneybeans
56.34,68.47,61.78,34.58,91.17,6.79,137.28,papaya
99.99,32.41,27.02,25.1,58.1,6.43,150.54,coffee
40.99,57.83,17.75,31.58,60.9,6.34,66.44,blackgram
22.43,81.9,16.61,21.05,19.28,5.81,92.12,kidneybeans
21.27,29.6,32.56,29.96,51.19,6.19,101.69,mango
14.48,28.71,37.38,33.15,47.18,6.25,92.8,mango
26.51,19.02,30.87,24.8,93.25,5.65,139.43,coconut
51.74,50.4,46.14,30.86,91.17,6.42,146.67,papaya
20.65,138.4,198.22,23.0,89.28,5.69,107.96,apple
34.92,61.85,85.15,18.4,15.99,6.92,83.49,chickpea
14.19,19.24,41.74,19.45,92.42,5.87,104.03,pomegranate
36.95,65.82,77.73,21.08,17.45,7.42,85.08,chickpea
103.37,18.58,50.96,29.19,92.41,6.4,28.29,muskmelon
5.71,145.0,203.87,25.61,94.77,6.37,118.85,apple
92.05,18.38,54.57,27.2,92.0,6.05,23.52,muskmelon
96.0,22.73,45.03,27.41,90.93,6.23,23.9,muskmelon
23.31,24.05,27.07,29.93,51.04,6.39,82.42,mango
20.2,25.6,40.13,32.89,48.77,5.38,83.42,mango
107.71,56.3,15.14,25.19,79.5,7.66,83.13,cotton
23.43,10.5,27.02,27.66,95.07,5.93,182.34,coconut
21.26,22.95,36.56,21.31,90.84,6.61,95.33,pomegranate
85.47,45.58,38.91,25.8,84.78,6.73,268.84,rice
104.25,15.28,48.26,28.39,89.23,6.06,22.9,muskmelon
102.22,26.18,30.19,21.36,59.58,6.07,177.68,coffee
37.25,54.96,49.79,34.59,89.87,6.67,128.25,papaya
18.4,57.86,21.08,26.47,53.04,6.81,54.98,mothbeans
86.5,37.61,12.34,24.74,59.73,6.13,70.76,maize
18.66,27.93,27.03,31.46,50.73,5.2,100.67,mango
99.16,22.5,52.79,28.97,91.5,6.28,28.92,muskmelon
21.96,66.34,17.73,30.32,58.03,5.56,137.26,pigeonpeas
22.64,46.55,22.44,28.33,84.35,6.86,53.66,mungbean
99.17,27.09,32.47,25.85,67.93,6.85,148.18,coffee
14.7,126.62,199.03,25.8,82.37,6.48,65.46,grapes
17.99,15.52,26.59,24.68,96.24,6.07,175.89,coconut
107.4,46.46,22.8,23.27,73.04,6.82,79.15,cotton
17.41,70.87,17.05,27.85,50.78,5.63,152.91,pigeonpeas
82.03,41.71,32.89,22.31,79.06,7.07,258.24,rice
29.45,138.52,197.75,24.59,92.23,5.97,112.4,apple
16.64,15.92,35.7,21.72,86.41,6.68,107.83,pomegranate
105.06,27.26,29.24,27.58,56.13,7.03,185.3,coffee
38.25,54.49,84.42,18.78,16.44,8.58,82.49,chickpea
133.16,55.45,17.03,24.1,81.82,7.51,86.15,cotton
81.92,48.65,37.16,24.91,84.94,6.41,145.52,jute
15.28,28.05,29.97,30.77,54.89,5.52,86.6,mango
95.57,65.43,54.67,26.24,77.84,5.88,106.78,banana
44.25,58.75,46.78,39.15,94.08,6.8,167.32,papaya
15.97,136.09,203.29,19.79,93.34,5.74,111.35,apple
34.47,79.92,78.39,20.73,19.84,7.7,76.65,chickpea
86.16,51.15,38.45,24.25,78.55,6.77,231.58,rice
20.23,76.98,16.14,24.21,44.6,6.32,119.11,pigeonpeas
12.34,46.82,20.91,28.55,43.98,6.27,50.69,mothbeans
6.63,42.16,16.52,28.12,83.89,6.94,37.24,mungbean
82.81,42.91,32.25,24.57,74.85,6.76,156.99,jute
13.19,27.16,40.11,21.68,91.57,6.69,113.18,pomegranate
26.75,139.92,201.04,16.74,81.95,6.37,71.71,grapes
21.68,46.64,17.53,26.76,63.45,6.8,57.46,mothbeans
75.69,37.85,38.3,24.75,77.4,6.91,188.59,jute
83.59,62.07,19.47,20.4,59.68,5.98,84.4,maize
17.09,15.0,23.33,29.81,97.99,5.7,171.6,coconut
76.01,54.43,19.13,23.07,66.49,6.0,96.7,maize
37.3,67.0,83.01,16.73,12.21,7.08,70.33,chickpea
86.15,83.62,43.77,27.46,76.13,6.14,97.21,banana
72.07,46.25,34.82,22.49,78.71,7.19,237.08,rice
14.15,21.41,33.68,26.98,95.41,6.0,211.21,coconut
69.29,54.15,38.37,26.17,81.48,6.44,166.0,jute
21.42,24.96,31.4,29.84,48.43,5.19,100.26,mango
110.85,20.77,54.77,27.4,89.86,6.18,28.7,muskmelon
17.6,138.26,196.33,22.94,92.1,5.96,109.48,apple
112.88,89.73,52.88,30.13,80.15,6.19,99.92,banana
24.36,69.72,15.04,25.3,47.36,5.85,126.9,pigeonpeas
42.61,69.18,22.96,31.48,68.98,7.2,59.46,blackgram
19.96,15.47,12.07,18.87,87.63,6.91,113.78,orange
39.11,63.27,72.03,19.67,15.73,6.83,57.12,chickpea
98.88,17.84,48.82,25.87,83.42,6.88,50.23,watermelon
75.9,83.26,50.13,27.28,83.37,6.22,106.98,banana
20.55,145.0,200.79,21.41,90.88,6.08,121.79,apple
41.35,74.46,72.91,16.26,13.75,7.81,75.69,chickpea
111.1,30.48,24.5,24.89,68.12,6.91,164.72,coffee
11.35,64.98,20.57,28.82,45.04,5.82,99.73,pigeonpeas
9.53,16.15,7.77,23.31,89.91,6.53,121.73,orange
21.63,141.93,194.26,24.51,89.18,6.54,109.82,apple
17.92,17.34,28.82,25.25,99.18,5.65,179.66,coconut
59.32,55.49,52.84,34.27,89.23,6.52,139.6,papaya
85.18,19.04,50.26,26.33,85.39,6.67,46.73,watermelon
19.24,51.2,22.52,30.64,58.49,7.32,48.68,mothbeans
38.76,62.24,52.42,32.18,89.51,6.7,142.45,papaya
47.18,62.12,79.33,18.92,15.23,7.56,79.13,chickpea
18.79,16.63,48.17,25.47,87.93,6.57,112.0,pomegranate
33.17,75.31,79.62,19.91,14.66,6.68,86.64,chickpea
56.5,61.78,47.57,38.37,89.78,6.68,161.94,papaya
26.08,76.24,19.81,18.74,63.36,7.98,44.55,lentil
23.55,127.8,199.81,22.55,91.25,5.59,110.7,apple
18.23,18.14,40.33,21.95,89.02,6.78,100.48,pomegranate
39.83,81.18,88.31,18.21,15.6,7.49,72.11,chickpea
10.15,28.53,28.87,31.99,52.24,6.31,85.66,mango
46.84,77.54,79.41,15.72,15.58,7.82,79.92,chickpea
20.49,16.94,38.73,22.38,87.19,6.29,102.34,pomegranate
88.65,13.86,52.91,24.06,84.21,6.64,50.47,watermelon
20.96,71.0,21.42,20.25,23.46,5.8,87.34,kidneybeans
26.65,49.08,23.7,28.93,82.03,6.3,39.09,mungbean
98.97,18.32,50.56,28.6,90.12,6.62,25.59,muskmelon
108.17,16.06,55.21,26.96,85.51,6.36,45.94,watermelon
14.68,66.18,22.76,19.84,25.38,5.41,105.72,kidneybeans
113.46,17.1,41.85,29.12,94.85,6.58,22.71,muskmelon
23.12,25.56,29.79,31.43,50.58,6.2,98.56,mango
89.69,42.09,38.36,22.82,77.91,6.52,242.73,rice
43.26,67.52,22.89,31.87,59.5,7.28,66.57,blackgram
40.53,68.58,76.91,18.43,18.03,7.78,78.98,chickpea
129.06,83.74,48.14,25.63,81.81,6.53,102.62,banana
34.89,67.54,14.61,32.2,64.28,7.44,64.64,blackgram
15.97,59.63,23.41,28.55,42.47,5.91,128.98,pigeonpeas
45.34,54.55,49.08,34.29,91.87,6.93,152.76,papaya
29.47,67.83,20.68,29.43,40.48,6.65,153.55,pigeonpeas
12.99,41.66,18.22,25.45,85.64,6.63,38.36,mungbean
23.49,13.64,33.91,23.23,94.63,6.34,151.15,coconut
118.46,40.62,10.69,26.33,81.96,7.11,75.54,cotton
28.31,134.19,198.3,26.68,83.52,5.79,64.29,grapes
22.48,131.3,192.26,22.27,92.77,5.78,101.04,apple
19.34,67.33,18.4,23.72,58.61,7.01,45.5,lentil
87.6,74.22,48.2,26.27,81.07,5.42,95.66,banana
88.34,47.2,38.04,24.63,73.49,6.65,185.13,jute
26.73,141.39,196.43,23.11,89.75,6.17,112.18,apple
20.33,13.55,38.61,21.72,87.35,6.94,102.38,pomegranate
18.4,137.31,198.56,20.97,97.9,5.75,97.18,apple
20.49,48.76,22.75,29.29,84.93,6.64,51.46,mungbean
88.37,12.2,54.17,27.04,91.94,6.55,22.86,muskmelon
93.85,25.09,35.2,27.23,51.45,6.57,162.46,coffee
100.43,30.87,29.82,24.89,58.6,6.81,152.61,coffee
28.08,59.53,20.65,24.96,44.57,5.38,137.34,pigeonpeas
74.79,51.4,45.63,26.1,82.83,6.98,183.07,jute
23.53,64.34,18.59,20.63,20.51,5.69,137.4,kidneybeans
114.89,69.43,46.27,23.97,78.05,6.23,101.29,banana
81.73,49.79,22.95,26.56,69.26,5.65,69.45,maize
73.25,44.13,36.52,22.29,83.59,6.99,155.7,jute
101.55,43.54,18.41,20.84,62.98,6.01,99.07,maize
32.76,78.31,21.81,27.88,46.83,5.32,151.05,pigeonpeas
14.76,24.2,32.38,27.51,53.9,5.59,92.37,mango
26.25,61.77,24.6,21.1,18.1,5.77,74.4,kidneybeans
23.48,12.94,37.53,19.8,85.71,6.43,118.34,pomegranate
99.92,20.14,49.39,26.06,85.08,6.47,52.09,watermelon
38.98,78.96,18.65,29.86,63.17,7.43,79.56,blackgram
73.91,49.55,18.56,25.54,61.62,6.14,79.52,maize
79.34,38.52,36.74,23.69,79.72,6.25,261.36,rice
16.89,51.5,21.49,30.34,47.2,5.41,58.06,mothbeans
15.97,53.76,21.05,16.97,21.84,5.65,116.09,kidneybeans
18.77,23.59,38.09,31.81,47.22,6.15,99.31,mango
126.76,45.99,17.19,22.24,84.56,7.28,95.95,cotton
52.17,52.38,47.07,30.69,91.05,6.64,137.27,papaya
26.19,50.28,17.1,27.58,50.13,6.37,59.03,mothbeans
119.81,48.93,16.54,24.55,79.12,7.01,74.6,cotton
33.65,50.49,20.35,30.27,92.53,6.96,54.09,mungbean
19.94,18.25,6.52,23.06,92.06,7.29,109.19,orange
72.51,43.72,45.39,23.0,77.26,6.53,174.56,jute
35.72,54.75,17.08,27.12,71.92,7.07,65.72,blackgram
24.21,54.43,25.45,29.76,88.99,6.53,41.46,mungbean
96.32,35.89,31.22,25.8,66.84,6.1,143.42,coffee
95.86,93.48,42.69,24.3,80.67,5.87,104.66,banana
17.05,73.01,22.06,32.32,47.05,6.13,151.46,pigeonpeas
44.36,51.94,51.28,33.31,92.11,6.98,153.58,papaya
21.15,111.71,198.56,23.27,93.01,6.17,109.99,apple
15.65,19.61,42.93,23.73,87.03,7.06,112.1,pomegranate
77.34,42.61,20.7,18.51,66.52,6.45,60.88,maize
11.74,38.04,31.56,31.73,52.35,6.08,93.86,mango
23.0,12.6,35.89,27.25,94.51,5.71,176.13,coconut
12.92,137.36,201.71,24.34,92.66,5.5,105.98,apple
16.81,72.04,14.87,24.96,66.61,7.58,41.85,lentil
82.15,39.12,36.48,26.61,80.68,6.53,161.92,jute
14.84,51.57,18.23,27.94,53.56,5.9,44.97,mothbeans
9.19,77.75,21.42,20.75,58.88,7.57,42.01,lentil
28.43,11.8,32.45,25.5,98.57,5.54,196.44,coconut
36.13,48.33,22.76,32.98,62.89,7.02,63.28,blackgram
70.31,35.61,48.88,24.24,83.57,6.48,197.87,jute
19.2,50.3,15.83,28.83,87.16,6.9,36.78,mungbean
109.1,50.44,15.46,25.03,85.14,7.13,85.5,cotton
101.1,19.11,52.75,25.03,83.6,6.69,54.38,watermelon
22.17,132.07,199.39,24.65,91.42,6.08,112.96,apple
29.09,129.02,198.44,19.81,80.04,6.16,69.63,grapes
20.23,15.8,28.19,27.61,94.15,6.15,146.5,coconut
24.37,141.82,203.13,23.29,85.28,5.29,77.81,grapes
101.59,15.57,46.86,24.28,93.51,6.42,41.17,watermelon
79.67,32.53,39.55,20.99,84.31,6.55,212.7,rice
17.81,24.44,31.4,34.48,54.3,5.3,102.44,mango
14.32,30.1,34.58,35.96,60.23,5.44,111.65,mango
102.46,30.73,28.7,27.84,57.3,6.21,151.06,coffee
23.28,19.93,38.84,21.72,90.15,6.16,110.97,pomegranate
107.07,85.18,53.73,27.99,79.46,5.76,102.61,banana
23.71,141.84,205.0,21.75,83.9,6.23,73.89,grapes
76.61,52.56,38.44,22.69,79.02,6.44,182.18,jute
11.18,10.96,10.02,18.82,96.41,6.18,104.9,orange
105.91,41.81,15.87,23.04,78.01,5.95,86.0,cotton
27.06,27.29,30.95,33.23,47.66,5.82,95.45,mango
49.35,66.93,47.15,32.78,87.83,7.05,121.19,papaya
99.53,21.64,47.31,30.84,90.96,6.42,23.86,muskmelon
19.09,34.94,20.54,31.06,45.83,6.45,53.83,mothbeans
62.56,55.35,40.53,24.31,78.28,6.1,183.7,jute
41.7,65.01,88.04,19.64,18.27,7.57,89.49,chickpea
17.14,50.0,22.8,27.75,58.53,7.67,43.87,mothbeans
19.17,20.7,50.32,19.81,87.3,6.17,107.69,pomegranate
105.66,21.45,46.09,27.51,86.05,6.5,48.81,watermelon
23.27,52.86,17.02,29.04,48.92,6.86,41.08,mothbeans
139.4,42.9,17.04,24.43,81.95,7.26,72.71,cotton
55.41,61.86,58.07,33.85,93.65,6.41,126.1,papaya
99.54,19.73,56.65,26.48,84.95,6.91,39.84,watermelon
18.79,36.66,18.64,26.12,50.16,6.72,58.86,mothbeans
87.87,55.11,35.9,25.53,83.54,6.73,283.62,rice
32.25,19.46,35.69,26.46,96.2,6.4,159.57,coconut
17.77,48.68,18.91,24.19,51.26,6.62,56.27,mothbeans
18.78,48.01,23.21,30.74,52.65,6.57,50.75,mothbeans
90.02,58.93,20.1,20.52,67.04,6.0,108.96,maize
74.93,43.7,41.16,20.7,78.08,6.11,230.86,rice
70.07,42.97,22.68,21.66,70.19,6.0,88.15,maize
21.8,15.78,26.84,27.17,95.63,6.16,214.77,coconut
